id,state
749044,FL
749097,KS
720524,CO
722269,AL
745095,CA
725566,NE
723655,NM
720021,LA
747809,GA
726392,CO
997304,VA
997040,NC
745950,MD
724685,CO
713407,AK
725335,IN
701790,AK
994009,FL
702510,AK
997801,WA
720654,AR
690320,WA
702915,AK
727645,ND
723755,AZ
722221,WY
994200,MI
721033,GA
690140,CA
721028,VT
998164,HI
723264,TN
997797,AK
701210,AK
725373,MI
695364,VA
703625,AK
704090,AK
726583,MN
720578,TX
691334,UT
725467,IA
727577,ND
726284,MI
994047,FL
722545,TX
691774,AK
720933,ND
701970,AK
997290,CT
723923,CA
723825,CA
725253,OH
998342,NJ
725370,MI
725635,NE
997739,MI
725915,CA
725124,PA
724238,KY
722298,LA
700265,AK
724957,CA
749158,NM
720928,OH
722261,FL
724210,KY
722341,FL
720501,VA
720588,MS
994680,AK
723924,CA
724835,CA
722365,LA
723564,OK
998426,NC
725409,MI
723783,AZ
703644,AK
747931,FL
724880,NV
722163,AK
749167,AZ
720327,WI
726350,MI
726720,WY
997340,WI
700639,AK
911903,HI
722666,TX
722553,TX
747043,CA
998198,AK
722484,LA
785350,PR
722347,MS
720609,SC
722160,GA
722294,LA
727640,ND
722437,TX
998275,FL
720549,NV
720297,VA
720918,SD
723723,AZ
722363,TX
720301,GA
726503,WI
917650,AS
997693,VA
722267,AL
724037,VA
724742,FL
722248,LA
722820,LA
722122,TX
727566,MN
720369,ID
722919,CA
726691,SD
725325,IL
720475,MO
701740,AK
726184,ME
727833,ID
725090,MA
700260,AK
726763,MT
722007,MI
998209,NC
722930,CA
727444,MN
690250,NC
724973,CA
725064,MA
724076,NJ
727861,WA
726145,VT
722334,LA
720902,MI
726584,MN
749220,AK
723156,NC
722976,CA
724915,CA
726516,SD
726873,ID
998180,MI
724508,KS
720283,MN
742004,WA
723271,TN
721021,ND
723635,TX
724140,WV
723250,TN
994022,CA
749077,KY
997703,LA
744656,IL
722100,FL
722212,FL
727348,MI
725097,MA
725099,MA
727452,MN
994015,WA
998278,FL
723047,NC
997742,AL
726963,OR
725681,WY
749084,FL
994780,LA
994690,AK
690200,NC
998405,MI
727477,MN
720592,AL
720386,MN
747950,FL
722364,MS
703621,AK
720316,TX
723520,OK
725405,MI
997799,AK
722388,LA
997375,CA
722358,MS
720904,FL
725374,MI
720339,AZ
720455,KY
998439,AL
749096,AR
701975,AK
723894,CA
725171,PA
720479,MO
721013,ND
700001,AK
725065,MA
720541,MS
997270,NJ
723193,NC
994950,CT
722275,AL
912853,HI
749076,IN
727486,MN
723758,WI
724700,UT
722030,FL
744989,NY
725514,MD
725780,ID
725478,IA
703650,AK
722166,GA
723045,NC
998298,FL
720937,MS
722215,FL
722527,TX
702040,AK
725170,PA
725408,MI
727796,MT
722066,FL
727468,MN
721008,MT
720664,LA
720394,AR
722890,CA
749085,GA
723080,VA
723810,CA
725125,PA
998284,FL
723117,SC
994730,TX
703605,AK
724490,MO
997794,NC
994830,GA
747900,SC
997988,MI
720159,LA
725847,CA
722393,LA
743700,NY
723604,TX
702717,AK
749182,MT
723340,TN
722171,IL
998195,HI
749045,FL
720605,SC
724736,UT
749169,CA
702320,AK
722310,LA
722523,TX
725206,PA
722242,LA
749165,NM
723484,MO
725229,OH
720718,LA
720536,CO
724520,KS
725464,IA
724010,VA
721029,IN
720544,CO
722445,TX
722240,FL
722290,AL
724795,UT
726575,MN
998232,AL
720659,TX
722885,CA
727883,WA
724097,NJ
725976,OR
720413,AL
726886,OR
722536,TX
725891,OR
720465,KY
727810,WA
745430,KS
998354,HI
725088,MA
749203,AK
720912,AL
701795,AK
725665,NE
998341,AK
997277,RI
723305,MS
726510,SD
722917,CA
720661,MI
749174,CA
720649,NC
690500,AR
726430,WI
747355,TX
992025,HI
994340,OH
722230,AL
727503,MN
724675,CO
722005,KS
722218,MD
998213,FL
720383,FL
724288,OH
724720,UT
997357,FL
703626,AK
724120,WV
725394,MI
727985,WA
720959,GA
726525,SD
723407,AR
724014,VA
998259,AK
998001,OH
722309,LA
722826,PA
994064,MI
911820,HI
720565,UT
720726,TX
720986,NE
725025,NJ
997691,VA
724020,VA
720258,MN
724926,CA
723914,CA
720521,WY
994590,NY
722521,TX
722111,AL
722252,MN
722925,CA
703059,AK
727340,MI
727031,ME
722675,TX
690138,NC
722019,FL
725483,IA
723183,TN
701995,AK
744666,IL
720777,VA
725038,NY
720531,CO
727964,WA
747810,GA
722339,LA
997367,MS
723897,CA
701486,AK
722326,LA
722126,IL
726425,WI
726163,NH
721026,ND
720379,KY
722327,LA
722361,FL
703815,AK
723303,MS
725121,VT
998193,HI
723150,NC
720382,AK
722530,TX
997179,AK
701748,AK
725493,IA
726130,NH
997366,TX
727514,MN
722178,OK
744864,NY
722300,AL
994750,CT
720856,AL
722367,MO
702647,AK
725626,NE
700863,AK
725477,IA
997734,CA
998481,TX
724936,CA
723675,NM
703407,AK
746930,NC
722640,TX
998159,CA
720632,SC
724696,CO
724937,CA
997389,NC
725620,NE
720919,TX
723110,GA
998428,NJ
744680,IN
994220,FL
998479,CA
723647,NM
703610,AK
703058,AK
723060,NC
702677,AK
720324,PA
724066,MD
726660,WY
724084,NJ
747946,FL
720645,CA
720582,MN
722691,GA
722201,NC
725555,NE
749100,AR
722035,FL
998158,AK
725468,IA
720198,MI
701791,AK
721037,NC
722556,TX
727530,ND
726603,MN
747680,MS
998440,AL
725387,MI
723010,NC
727680,MT
998348,VA
724927,CA
725645,WY
722599,TX
745945,MD
715915,BC
744550,IA
720291,TX
727470,MN
727431,MI
726586,MN
726880,OR
722356,MS
997786,VA
726509,WI
745097,CA
998007,WA
727347,MI
997312,MD
722249,OH
747830,FL
727457,MN
997293,OH
997348,FL
720597,SC
727938,WA
721016,ND
702490,AK
720472,ME
725330,IN
720719,LA
720358,OK
726685,SD
725814,UT
725115,PA
724506,KS
702350,AK
720911,ND
725457,IA
722540,TX
703926,AK
998493,FL
726555,MN
720539,CO
724040,MD
724956,CA
746720,TN
726227,NY
720999,MT
724796,UT
997286,PA
725826,NV
722350,MS
722103,FL
722359,MS
727815,WA
722387,LA
722199,OK
724504,KS
994190,WI
691174,MD
722764,AZ
997813,AK
720572,UT
723761,TX
747985,FL
703675,AK
749173,AZ
997176,AK
700635,AK
720397,OH
722114,MN
723231,AL
724343,MO
749078,GA
724200,OH
724515,KS
725841,CA
997178,AK
725119,PA
722600,TX
702740,AK
725087,CT
723787,AZ
724510,KS
723066,NC
726170,VT
725680,WY
722543,TX
722656,TX
703656,AK
723062,NC
725010,NY
912120,GU
725095,MA
998222,HI
724460,MO
724025,VA
720274,NC
727884,WA
720997,MT
720518,WY
720533,CO
723676,NM
749049,FL
720772,NM
723527,OK
722217,GA
725250,OH
727918,WA
725910,CA
723016,NC
749473,NM
745310,CO
723194,NC
997785,MI
725646,WY
997369,TX
724046,DE
725489,IA
724463,MO
690230,WA
723556,OK
722077,GA
746410,OK
725208,OH
723190,SC
720775,TN
727675,ND
725710,CO
702697,AK
724273,WV
998178,AK
724580,KS
723436,AR
997706,OR
726589,MN
722091,OK
744652,IL
725254,OH
749013,FL
702646,AK
992012,NC
994061,MI
724690,CO
726809,ID
720935,CA
724741,FL
720266,IN
723099,NC
997814,AK
720309,IA
745054,CA
722407,LA
725378,MI
723528,OK
747040,CA
726388,MI
703950,AK
727630,ND
998282,LA
722369,TX
747917,SC
722821,LA
720606,SC
724170,WV
720168,TN
720629,MI
723115,SC
726069,MA
725184,NY
725763,WY
742077,NC
998435,NY
727917,WA
720675,NV
726986,OR
720866,ND
726068,MA
702746,AK
724680,CO
724398,IL
746710,KY
722425,TX
694604,AK
726460,WI
723180,VA
722888,MI
723762,CA
720671,GA
747187,CA
726380,MI
725724,UT
720991,CO
722055,FL
726834,OR
725825,NV
723656,NM
723235,AL
724767,CO
727850,WA
997345,FL
720284,MI
722406,LA
724565,KS
727970,WA
722908,CA
726452,WI
998482,TX
726816,ID
997705,FL
722394,LA
997386,AK
725939,IA
701940,AK
998186,SC
722323,TX
747804,GA
702987,AK
724335,IL
747805,GA
724836,CA
998225,TX
720562,WA
690090,FL
726450,WI
912944,HI
722618,TX
997993,NH
997990,SC
726559,MN
722174,TX
720151,TX
726593,MN
720415,MI
911780,HI
722049,FL
700264,AK
725785,ID
997741,WI
723048,NC
725375,MI
724294,OH
724250,WV
725063,MA
726427,WI
720616,MO
722620,TX
742070,WA
725869,ID
997735,IL
747918,SC
723171,CA
702650,AK
727533,MN
725416,MI
722983,CA
723079,NC
727945,WA
720399,FL
724371,IN
722906,CA
723750,AZ
720393,TX
703053,AK
994066,MI
720113,MI
726625,SD
749016,TX
723450,AR
724663,CO
724165,WV
749048,FL
722488,LA
745940,MD
724233,KY
745046,CA
723068,NC
997368,TX
721042,FL
725285,NY
723740,AZ
703670,AK
704898,AK
727517,MN
720317,VA
722118,FL
744905,MA
701333,AK
998442,ME
997994,MD
722231,TX
744915,MA
726499,IA
725287,NY
998245,VA
724295,OH
724770,NV
998015,ME
722550,TX
724834,CA
703333,AK
723419,AR
723567,OK
998254,AK
723530,OK
746120,CA
725207,PA
720387,NM
998255,MI
702310,AK
722288,AL
724765,CO
725194,NY
725905,CA
998497,IL
702595,AK
722305,LA
727845,WA
723490,MO
701780,AK
724627,CO
725316,IL
998328,VA
726400,WI
722127,IL
722176,GA
725396,MI
722933,CA
724430,IL
700365,AK
720110,TX
724468,KS
720952,CA
725708,UT
702790,AK
702495,AK
720648,TX
724276,OH
749226,AK
723116,SC
749087,FL
727873,WA
749074,IN
726587,MN
723440,AR
744104,MA
723108,NC
726985,OR
726504,WI
740035,AZ
720425,KS
744976,NY
702185,AK
720724,NM
720746,GA
724935,CA
722690,NM
911860,HI
720277,NC
749105,NY
720488,MO
720638,OR
692584,NV
701045,AK
724620,CO
726398,MI
724280,OH
720594,TX
720538,CO
724015,VA
703920,AK
724356,IN
998340,CA
720721,LA
725144,PA
749205,AK
725771,WY
726408,WI
722065,FL
726517,SD
720408,PA
726114,VT
725776,WY
724049,VA
697534,CA
722308,LA
720567,UT
997275,ME
720627,OK
721007,MT
749477,CA
724756,UT
722897,CA
722789,AZ
726140,VT
725023,MS
722800,AZ
747760,FL
998281,OH
724673,CO
998425,AK
722867,CA
724177,WV
696464,AZ
747188,CA
998408,CA
722801,AZ
724855,NV
724360,IN
720448,KY
725045,CT
726188,ME
723671,NM
722243,NC
725085,MA
725244,OH
725476,IA
998432,AK
725716,CO
722385,LA
725111,PA
742010,WA
722677,NM
998223,NY
997992,FL
744662,IL
725621,NE
722865,CA
720171,TN
725030,NY
722197,GA
998219,MS
726385,MI
724635,CO
702735,AK
720575,IN
720483,MO
720272,WA
723260,TN
749479,CA
720328,WV
722433,TX
720446,KY
727929,WA
749083,TN
726389,MI
702711,AK
997364,TX
749071,NC
722899,CA
997342,WI
720963,NM
722095,OK
722984,CA
726221,NY
727750,MT
722822,LA
997272,NY
722052,OK
998307,FL
720403,TX
749495,CA
725940,CA
720653,NC
720967,LA
722324,TX
722304,LA
700271,AK
703980,AK
747255,AZ
722179,WI
749094,KS
725454,IA
726881,OR
722109,GA
747870,FL
994029,WA
723140,NC
725039,NY
725386,MI
749159,TX
722012,FL
998473,LA
700637,AK
722745,AZ
722685,NM
744657,IL
722003,MN
994979,MI
720639,TX
725875,NV
723145,NC
722655,TX
720734,ID
722058,FL
702605,AK
722650,TX
726861,ID
726655,WY
726560,SD
724284,OH
722707,TX
720268,GA
726568,MN
726884,OR
724645,CO
726050,NH
720534,CO
692784,AK
726566,MN
722955,CA
720542,TX
725865,ID
720315,TX
701747,AK
997347,FL
723447,AR
724666,CO
725310,IL
725340,IL
703888,AK
720553,NY
720478,MO
724988,NY
722648,TX
722059,WI
723069,NC
997792,MI
725706,UT
722170,GA
724380,IN
727827,WA
720353,KY
997704,AK
726791,MT
725028,NY
746140,NV
726340,MI
911620,HI
702000,AK
724689,CO
724056,VA
723139,NC
722436,TX
726764,MT
724975,IL
725551,NE
723405,AR
726680,SD
727445,MI
702312,AK
700632,AK
720599,SC
721045,MO
726556,MN
745160,CA
726574,WI
725306,IL
723290,MO
749086,MO
720401,AR
721018,ND
998206,AK
720581,NJ
725453,IA
727760,MT
723301,MS
724456,MO
727584,ND
722362,TX
749154,HI
725235,NY
723760,AZ
749155,TX
722575,TX
722696,NM
720261,TX
720299,TX
725354,IN
911975,HI
726157,ME
998211,MD
726419,WI
724320,IN
703051,AK
720622,TX
726540,SD
744214,IN
726508,WI
722134,GA
703057,AK
997333,CA
747807,GA
720855,ND
723401,AR
722253,LA
725049,CT
726156,ME
725462,IA
720895,ND
722188,AR
724395,IL
994860,GA
720987,CO
727515,MN
722044,OK
722113,TX
997793,MI
723625,NM
724115,VA
721019,ND
702315,AK
997279,MA
720887,WI
994037,TX
745201,UT
722186,MI
720681,CA
740184,CA
698414,CO
722978,CA
722021,FL
702520,AK
724386,IN
725957,CA
994700,AK
702070,AK
749047,FL
722315,LA
725565,NE
747335,TX
727978,WA
722926,CA
726546,SD
726836,OR
722256,MA
912834,HI
722557,TX
723786,AZ
722053,FL
724117,VA
727930,WA
727345,MI
723529,OK
723246,TN
724459,MO
998155,CT
723545,OK
722200,FL
725265,PA
745985,VA
998233,MS
724475,KS
724176,WV
997697,MI
997355,FL
721011,ND
997737,MN
725247,OH
747806,GA
692754,FL
